38947412,43.5
90232733,56.0
130993733,29.5
30589838,20.5
132610214,92.0
99025732,35.0
170335292,25.5
146358373,16.0
81995646,52.0
70091149,49.0
14445047,58.0
94094158,23.5
169660176,37.0
107830990,14.5
145339969,19.0
12108473,20.0
116657336,42.5
131336585,31.5
138078344,40.0
19173448,17.0
71472376,52.0
60142556,41.0
80324994,46.0
38966257,77.0
178473254,33.0
175193812,26.5
148287081,37.5
62459704,22.0
45008665,17.0
144757575,13.0
163339529,108.0
8640893,39.0
100173774,39.5
123487508,64.0
103699371,43.0
62020432,22.0
68785625,15.0
118514655,28.5
130359518,122.5
48214546,22.0
169374531,21.5
199780387,45.5
114219250,12.5
161887973,18.5
116011531,19.0
156394624,55.0
12699791,25.5
33369946,36.0
37097053,29.5
93432868,27.5
173040179,21.0
142743866,20.0
84972339,20.5
61072345,21.0
41580518,22.0
43865068,48.0
76820402,26.0
59771162,15.0
83689894,63.0
25919628,36.0
139370524,10.0
25257681,28.0
196576478,60.0
106275918,20.0
72708036,40.0
80883533,83.5
93673167,28.0
106231026,39.5
192844016,30.0
106104865,33.0
113109924,66.0
131055542,27.0
145699215,28.0
151347056,46.5
143192480,17.0
96651511,14.0
14541188,26.5
55437084,17.5
5733710,14.5
75040070,37.0
113919703,22.0
176014872,48.0
22797330,100.0
38176597,14.0
132255747,50.0
42726044,31.0
44799207,84.5
31631716,26.5
68321011,27.5
144370628,65.0
15390543,18.5
104447757,59.0
89514377,24.5
8439105,24.0
30953445,17.0
151531019,167.0
526063,25.5
142428097,77.5
74158964,41.5
29332577,103.5
4844064,108.0
135642278,25.0
196154045,18.5
65471699,21.0
113878604,17.5
66300144,25.0
110625941,55.0
146987897,61.5
172188777,26.5
80214807,31.0
68483971,34.0
108348802,32.0
91116262,29.0
185993343,11.0
102896952,19.0
75720680,18.5
74479774,45.0
195493747,29.0
156911777,21.5
119683397,37.5
52864737,52.0
70062134,21.0
130914820,37.5
6235100,59.5
199914601,23.0
137895499,15.5
155541144,32.0
116986846,40.5
142778107,82.0
135000036,47.5
178156145,29.0
160768982,91.0
30016645,31.0
91068891,33.5
137615826,59.0
165060881,25.0
146398851,28.5
13419766,29.0
90405191,34.0
139851366,60.5
175866341,45.5
123720540,49.0
59581536,69.5
8356383,19.0
33630310,44.0
67748482,24.5
88726460,49.0
186555413,17.0
2315510,32.0
164846906,41.0
87940194,25.0
173208563,69.0
142801721,101.5
43402275,58.0
78111230,33.0
156322248,80.0
66985913,35.5
84643491,17.5
56358330,15.0
132225778,87.0
19278830,47.0
103079864,13.0
197138421,30.5
21880772,35.0
10160037,36.0
11987196,46.0
41567857,24.0
198223693,35.0
183123591,20.0
176697438,66.0
151644555,31.0
184220021,31.0
105187054,66.0
182434245,14.0
77578670,112.0
52980176,59.0
47802118,25.0
49976830,16.0
196891819,18.5
137337427,23.0
83514994,18.5
116688119,37.0
102324102,32.5
75457138,46.0
85297585,58.0
27201092,77.0
73016504,19.0
103157063,28.5
32132566,13.0
17710992,137.5
8445103,59.0
28659797,60.0
173878652,51.0
68110119,23.5
162730868,32.5
16940724,19.0
99850549,88.0
142790994,24.0
62959354,96.0
136794109,32.0
73656135,45.5
178288648,40.5
181626756,20.0
32545914,24.0
20981362,29.0
164936547,31.0
137404644,54.0
79084272,56.0
115982222,39.0
94207158,73.0
58493951,37.5
25060834,49.5
54312401,30.0
96667845,23.0
81906316,46.5
141823500,41.0
174857927,32.0
40507871,23.5
175687352,31.5
187830439,59.0
164724923,86.5
19276461,34.0
150527527,50.0
90395397,20.0
63179333,28.0
2833138,49.5
13523358,23.5
101942962,19.5
115386837,69.0
81829003,58.0
103476872,70.5
94689531,16.0
74408330,16.0
79938726,22.0
96012761,19.5
117537215,67.0
58525364,24.5
124527641,31.5
47924650,37.0
67612397,14.0
2075764,89.0
98092740,73.5
171077504,36.0
190026135,76.0
194504156,31.0
19432255,18.0
161126597,31.5
188817919,18.0
89296181,81.5
93445917,34.5
94546830,40.0
33011281,40.0
62488798,61.5
139030810,99.5
51898616,48.0
98405058,20.5
124384090,36.0
76111701,16.0
196362553,30.5
106598061,44.5
168788065,77.0
145034103,32.5
104138926,39.5
185915314,90.5
153860797,24.5
76450936,20.5
123606518,24.0
5455797,40.0
102587988,58.0
155867770,26.0
189257338,45.0
158693481,63.0
196550569,76.5
100834571,21.0
26728226,38.0
71749359,39.5
102228957,35.5
99402594,56.0
124529833,23.5
139665339,17.0
161183185,64.0
63541040,96.5
94042812,15.0
51800454,92.0
160176604,78.0
34660453,39.0
77133949,54.0
51081402,46.0
23316862,29.0
28123812,39.0
110499505,46.0
53610398,76.0
25334455,42.0
149348683,48.0
144124480,17.5
160056362,35.0
178845696,40.0
2071450,96.0
183982210,79.0
47871150,24.0
13311999,42.0
166542716,79.5
37857492,62.0
91329733,20.0
91467927,34.0
11159622,33.0
4922739,71.0
164158021,50.0
97870947,47.0
19038857,17.0
793725,88.0
12790943,42.5
19626208,19.5
66579793,23.0
53041570,66.0
197878595,41.0
138160958,27.0
84850737,24.0
198033552,11.0
139233762,24.0
830754,48.5
104932901,67.0
147634064,35.5
3053743,87.5
131461841,27.0
130238829,53.0
94788090,74.5
64883396,27.5
98848058,45.0
125601328,59.0
144125998,38.0
136947627,13.0
38322943,43.0
28833369,41.0
54590680,63.0
167918615,27.0
41961306,35.0
78038433,23.0
165832719,28.5
73279305,82.0
188221483,101.5
41818741,14.5
149687057,31.5
43134154,24.0
13478393,16.0
4874351,30.0
126268269,16.5
193068126,22.0
130163212,28.0
61033568,23.0
105469465,37.0
23831580,55.0
13243080,38.0
82179188,18.0
95070599,55.0
22960959,62.0
147159336,22.5
132307793,26.5
146701162,60.0
120076534,57.5
148939949,10.5
181860605,95.0
82120987,25.5
124205324,42.5
763023,14.0
59836188,122.0
45987282,52.0
178153240,30.0
3073165,32.0
55506438,60.5
124129531,46.5
173962538,40.0
80521360,58.5
87078760,27.0
173684361,31.0
93384392,19.0
166772354,28.0
92054434,28.0
191863733,18.5
165369502,31.0
182331134,50.0
55664782,21.5
82835524,44.0
198999610,31.0
14683033,27.0
183032838,16.0
138470456,23.5
2130520,32.0
24580884,46.0
25965958,14.0
106777611,41.5
17980599,33.0
48369495,58.5
86719943,55.0
53460294,31.5
21530315,40.0
198639700,19.0
97996162,64.0
11218165,37.0
86422217,25.0
69524709,92.5
64409791,37.5
6577178,87.0
46954459,21.0
107394375,27.0
44563064,32.5
129204149,23.0
96640587,67.0
56816836,39.5
119241841,32.0
126594758,46.5
66539426,24.0
28516812,62.5
187385124,72.0
184908984,44.0
182302168,43.5
122930259,31.5
8708931,76.5
22624608,17.0
74381199,27.0
144428612,84.0
73940791,31.5
35229536,63.5
60861935,35.5
5870634,17.0
186948800,69.5
195191940,120.0
21940320,20.5
118794616,26.5
97233751,32.0
148213652,51.0
112536120,39.0
102907301,33.0
101660783,29.0
44781218,13.0
122148128,29.5
159857926,54.0
122499772,54.0
168000642,18.0
175749748,72.0
177251892,23.5
166373060,60.0
6393991,15.0
17806208,94.0
8848509,49.5
199539468,19.0
192638343,14.0
127857293,24.0
111976515,38.5
102928077,47.0
65320328,39.0
91235292,22.0
29651499,34.0
22705452,36.0
39320997,98.0
97516278,45.5
30451973,12.0
196386635,24.0
103625175,50.0
52146879,22.5
181111640,26.5
100893473,18.0
36825731,113.0
110405576,20.5
70907608,65.0
144973992,30.0
72037933,13.0
24009615,27.5
176767278,76.5
116502297,25.0
37065396,22.0
84053312,40.5
35670337,21.0
107532364,70.0
75689034,30.0
30240502,43.0
95199437,44.0
161971649,83.5
152394848,30.0
13583558,42.0
25668831,40.0
13271933,18.5
141271940,102.0
134826194,25.5
116225742,57.0
18836354,38.0
143389946,47.5
15469072,55.0
70932039,28.5
93486666,85.0
180505692,39.0
67866955,72.0
178054508,18.5
139229194,16.5
134686046,24.0
90635559,15.0
39075519,50.5
48787006,33.0
39598090,69.0
143742620,21.5
